番号,都道府県,地区名称等,種別,選定年月日,選定基準,面積（ha）,pdfurl
51,愛知,豊田市足助,商家町,2011-06-20,（一）,21.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_51.pdf
52,三重,亀山市関宿,宿場町,1984-12-10,（三）,25.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_52.pdf
53,滋賀,大津市坂本,里坊群・門前町,1997-10-31,（三）,28.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_53.pdf
54,滋賀,彦根市河原町芹町地区,商家町,2016-07-25,（二）,5.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_54.pdf
55,滋賀,近江八幡市八幡,商家町,1991-04-30,（一）,13.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_55.pdf
56,滋賀,東近江市五個荘金堂,農村集落,1998-12-25,（三）,32.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_56.pdf
57,京都,京都市上賀茂,社家町,1988-12-16,（三）,2.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_57.pdf
58,京都,京都市産寧坂,門前町,1976-09-04,（三）,8.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_58.pdf
59,京都,京都市祇園新橋,茶屋町,1976-09-04,（一）,1.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_59.pdf
60,京都,京都市嵯峨鳥居本,門前町,1979-05-21,（三）,2.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_60.pdf
61,京都,南丹市美山町北,山村集落,1993-12-08,（三）,127.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_61.pdf
62,京都,伊根町伊根浦,漁村,2005-07-22,（三）,310.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_62.pdf
63,京都,与謝野町加悦,製織町,2005-12-27,（二）,12.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_63.pdf
64,大阪,富田林市富田林,寺内町・在郷町,1997-10-31,（一）,12.9,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_64.pdf
65,兵庫,神戸市北野町山本通,港町,1980-04-10,（一）,9.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_65.pdf
66,兵庫,豊岡市出石,城下町,2007-12-04,（二）,23.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_66.pdf
67,兵庫,丹波篠山市篠山,城下町,2004-12-10,（二）,40.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_67.pdf
68,兵庫,丹波篠山市福住,宿場町・農村集落,2012-12-28,（三）,25.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_68.pdf
69,兵庫,養父市大屋町大杉,山村・養蚕集落,2017-07-31,（三）,5.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_69.pdf
70,兵庫,たつの市龍野,商家町・醸造町,2019-12-23,（一）,15.9,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_70.pdf
71,奈良,橿原市今井町,寺内町・在郷町,1993-12-08,（一）,17.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_71.pdf
72,奈良,五條市五條新町,商家町,2010-12-24,（一）,7.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_72.pdf
